ItemSet:{ { 2, 3, 4, 5 } ==> } 	 Confidance : 100
ItemSet:{ { 2 } ==> { 0 }, { 5 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 2 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 2 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 2 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 2 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 2 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 2 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 6 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 6 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 2 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 2 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 2 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 2 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 2 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 2 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 2 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 0 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 2 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 2 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 3 }, { 4 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 4 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 3 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 3 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 3 }, { 4 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 4 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 3 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 3 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 3 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 3 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 3 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 3 }, { 4 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 4 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 3 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 3 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 3 }, { 4 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 4 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 3 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 3 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 3 }, { 5 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 5 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 3 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 3 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 3 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 3 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 3 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 3 }, { 5 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 5 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 3 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 3 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 3 }, { 5 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 5 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 3 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 3 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 3 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 3 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 3 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 3 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 3 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 3 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 3 }, { 6 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 6 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 3 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 3 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 3 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 3 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 3 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 3 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 3 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 3 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 3 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 0 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 3 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 3 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 4 }, { 5 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 5 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 4 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 4 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 4 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 4 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 4 }, { 5 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 5 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 4 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 4 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 4 }, { 5 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 5 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 4 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 4 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 4 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 4 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 4 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 4 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 4 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 4 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 4 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 4 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 4 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 4 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 0 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 4 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 4 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 5 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 5 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 5 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 5 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 5 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 5 }, { 6 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 6 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 5 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 5 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 5 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 5 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 5 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 5 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 5 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 0 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 5 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 5 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 6 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 6 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 6 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 6 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 0 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 6 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 0 } ==> { 7 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 0 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 0 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 0 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 2 }, { 3 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 1 }, { 3 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 1 }, { 2 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 1 }, { 2 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 2 }, { 3 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 1 }, { 3 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 1 }, { 2 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 1 }, { 2 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 2 }, { 3 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 1 }, { 3 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 1 }, { 2 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 1 }, { 2 }, { 3 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 2 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 1 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 1 }, { 2 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 1 }, { 2 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 2 }, { 4 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 1 }, { 4 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 1 }, { 2 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 1 }, { 2 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 2 }, { 4 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 1 }, { 4 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 1 }, { 2 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 1 }, { 2 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 2 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 1 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 1 }, { 2 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 1 }, { 2 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 2 }, { 5 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 1 }, { 5 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 1 }, { 2 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 1 }, { 2 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 2 }, { 5 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 1 }, { 5 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 1 }, { 2 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 1 }, { 2 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 2 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 1 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 1 }, { 2 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 1 }, { 2 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 2 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 1 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 1 }, { 2 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 1 }, { 2 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 2 }, { 6 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 1 }, { 6 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 1 }, { 2 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 1 }, { 2 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 2 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 1 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 1 }, { 2 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 1 }, { 2 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 2 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 1 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 1 }, { 2 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 1 }, { 2 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 2 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 2 } ==> { 1 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 1 }, { 2 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 1 }, { 2 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 3 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 1 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 1 }, { 3 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 1 }, { 3 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 3 }, { 4 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 1 }, { 4 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 1 }, { 3 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 1 }, { 3 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 3 }, { 4 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 1 }, { 4 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 1 }, { 3 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 1 }, { 3 }, { 4 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 3 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 1 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 1 }, { 3 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 1 }, { 3 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 3 }, { 5 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 1 }, { 5 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 1 }, { 3 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 1 }, { 3 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 3 }, { 5 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 1 }, { 5 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 1 }, { 3 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 1 }, { 3 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 3 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 1 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 1 }, { 3 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 1 }, { 3 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 3 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 1 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 1 }, { 3 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 1 }, { 3 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 3 }, { 6 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 1 }, { 6 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 1 }, { 3 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 1 }, { 3 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 3 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 1 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 1 }, { 3 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 1 }, { 3 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 3 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 1 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 1 }, { 3 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 1 }, { 3 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 3 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 3 } ==> { 1 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 1 }, { 3 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 1 }, { 3 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 4 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 1 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 1 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 1 }, { 4 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 4 }, { 5 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 1 }, { 5 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 1 }, { 4 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 1 }, { 4 }, { 5 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 4 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 1 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 1 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 1 }, { 4 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 4 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 1 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 1 }, { 4 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 1 }, { 4 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 4 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 1 }, { 7 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 1 }, { 4 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 1 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 4 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 1 }, { 7 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 1 }, { 4 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 1 }, { 4 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 4 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 4 } ==> { 1 }, { 8 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 1 }, { 4 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 9 } ==> { 1 }, { 4 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 5 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 1 }, { 6 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 1 }, { 5 }, { 7 }} 	 Confidance : 0
ItemSet:{ { 7 } ==> { 1 }, { 5 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 5 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 1 }, { 6 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 1 }, { 5 }, { 8 }} 	 Confidance : 0
ItemSet:{ { 8 } ==> { 1 }, { 5 }, { 6 }} 	 Confidance : 0
ItemSet:{ { 1 } ==> { 5 }, { 6 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 5 } ==> { 1 }, { 6 }, { 9 }} 	 Confidance : 0
ItemSet:{ { 6 } ==> { 1 }, { 5 }, { 9 }} 	 Confidance : 0
